listing_year,vehicle_type,price_bin,p
2022,suv,$50k-$60k,0.48102809207959424
2022,suv,$60k+,0.6903043308622708
2023,car,$0-$30k,0.5123363781900367
2023,car,$30k-$40k,0.6420566908371786
2023,car,$40k-$50k,0.6010452961672473
2023,car,$50k-$60k,0.4231095206704963
2023,car,$60k+,0.41350409643092567
2023,cuv,$0-$30k,0.6862228081740277
2023,cuv,$30k-$40k,0.8410396459176946
2023,cuv,$40k-$50k,0.8630756191731801
2023,cuv,$50k-$60k,0.7537903757415952
2023,cuv,$60k+,0.4379414257463038
2023,minivan,$0-$30k,7.533666070251436e-4
2023,minivan,$30k-$40k,0.12303418400979377
2023,minivan,$40k-$50k,0.285243431584895
2023,minivan,$50k-$60k,0.2530840945475092
2023,minivan,$60k+,0.05640832470100763
2023,pickup,$0-$30k,0.2552029381297674
2023,pickup,$30k-$40k,0.541529334212261
2023,pickup,$40k-$50k,0.677888690083812
2023,pickup,$50k-$60k,0.6129579056408325
2023,pickup,$60k+,0.6028816272718712
2023,suv,$0-$30k,0.00607401826914022
2023,suv,$30k-$40k,0.17501647989452868
2023,suv,$40k-$50k,0.4144928901026462
2023,suv,$50k-$60k,0.46176664469347395
2023,suv,$60k+,0.6946040116771824
2024,car,$0-$30k,0.5410036145143876
2024,car,$30k-$40k,0.6038586114631742
2024,car,$40k-$50k,0.5040604609679388
2024,car,$50k-$60k,0.33854386706097733
2024,car,$60k+,0.3556306623480261
2024,cuv,$0-$30k,0.7297094305966296
2024,cuv,$30k-$40k,0.8366896681218607
2024,cuv,$40k-$50k,0.8317607848659813
2024,cuv,$50k-$60k,0.7447307890907384
2024,cuv,$60k+,0.3543162934797916
2024,minivan,$0-$30k,6.102426888231705e-4
2024,minivan,$30k-$40k,0.16223067173637515
2024,minivan,$40k-$50k,0.29221236445571047
2024,minivan,$50k-$60k,0.24315824062338637
2024,minivan,$60k+,0.061681453316434307
2024,pickup,$0-$30k,0.21888935830634182
2024,pickup,$30k-$40k,0.56409895319908
2024,pickup,$40k-$50k,0.6755855982725437
2024,pickup,$50k-$60k,0.592264000375534
2024,pickup,$60k+,0.5769140496643665
2024,suv,$0-$30k,0.005961601652349434
2024,suv,$30k-$40k,0.1945735342440032
2024,suv,$40k-$50k,0.4223818241562221
2024,suv,$50k-$60k,0.4662723560061963
2024,suv,$60k+,0.6760550157254847
