price_bin,powertrain,year_2018,year_2024
$40k-$50k,bev,0.011739160935693159,0.06427501496031612
$30k-$40k,bev,0.0020610760722507963,0.014694447213637723
$60k+,bev,9.001805195520949e-4,0.10640765332963466
$50k-$60k,bev,0.0034951524665969872,0.07642775405800446
$0-$30k,bev,1.2757803687448588e-4,0.004554695711877564
$30k-$40k,cv,0.95078511006512,0.9368750902054378
$40k-$50k,cv,0.9555394130306384,0.8770901237760546
$0-$30k,cv,0.9856083107978307,0.991144919577128
$50k-$60k,cv,0.9820464830133075,0.8546480738902993
$60k+,cv,0.9794718231894624,0.8580355500754298
$60k+,hev,0.019622194912771444,0.035553130504863376
$50k-$60k,hev,0.014000725851807212,0.0684385577736749
$30k-$40k,hev,0.03507699688541888,0.04574743667764259
$40k-$50k,hev,0.022942563538562152,0.05489030559022351
$0-$30k,hev,0.0119420923783206,0.0042307235362684225
$30k-$40k,phev,0.012076816977210351,0.0026830259032819158
$40k-$50k,phev,0.009778862495106325,0.0037445556734057844
$0-$30k,phev,0.002322018786974233,6.966117472597155e-5
$50k-$60k,phev,4.576386682882386e-4,4.856142780213863e-4
$60k+,phev,5.8013782140843924e-6,3.666090072166983e-6
