age_years,mileage_predicted,vehicle_type,powertrain,coef
2.5,18091.83489478637,cuv,bev,8969.193480365686
3,22576.431634969216,cuv,bev,8969.193480365686
3.5,27061.02837515206,cuv,bev,8969.193480365686
4,31545.6251153349,cuv,bev,8969.193480365686
4.5,36030.221855517746,cuv,bev,8969.193480365686
5,40514.818595700584,cuv,bev,8969.193480365686
5.5,44999.41533588343,cuv,bev,8969.193480365686
6,49484.012076066276,cuv,bev,8969.193480365686
6.5,53968.608816249114,cuv,bev,8969.193480365686
7,58453.20555643196,cuv,bev,8969.193480365686
7.5,62937.8022966148,cuv,bev,8969.193480365686
8,67422.39903679765,cuv,bev,8969.193480365686
8.5,71906.99577698049,cuv,bev,8969.193480365686
9,76391.59251716333,cuv,bev,8969.193480365686
2,9219.024102292478,suv,bev,5876.925256957751
2.5,12157.486730771354,suv,bev,5876.925256957751
3,15095.94935925023,suv,bev,5876.925256957751
3.5,18034.411987729105,suv,bev,5876.925256957751
4,20972.87461620798,suv,bev,5876.925256957751
4.5,23911.337244686856,suv,bev,5876.925256957751
5,26849.79987316573,suv,bev,5876.925256957751
5.5,29788.262501644607,suv,bev,5876.925256957751
6,32726.725130123483,suv,bev,5876.925256957751
6.5,35665.187758602355,suv,bev,5876.925256957751
7,38603.65038708123,suv,bev,5876.925256957751
7.5,41542.113015560106,suv,bev,5876.925256957751
8,44480.57564403898,suv,bev,5876.925256957751
8.5,47419.03827251786,suv,bev,5876.925256957751
9,50357.50090099673,suv,bev,5876.925256957751
2,15371.455804576153,cuv,diesel,12025.671283305612
2.5,21384.29144622896,cuv,diesel,12025.671283305612
3,27397.127087881767,cuv,diesel,12025.671283305612
3.5,33409.96272953457,cuv,diesel,12025.671283305612
4,39422.798371187375,cuv,diesel,12025.671283305612
4.5,45435.63401284018,cuv,diesel,12025.671283305612
5,51448.46965449299,cuv,diesel,12025.671283305612
5.5,57461.305296145794,cuv,diesel,12025.671283305612
6,63474.1409377986,cuv,diesel,12025.671283305612
6.5,69486.97657945141,cuv,diesel,12025.671283305612
7,75499.8122211042,cuv,diesel,12025.671283305612
7.5,81512.64786275702,cuv,diesel,12025.671283305612
8,87525.48350440983,cuv,diesel,12025.671283305612
8.5,93538.31914606263,cuv,diesel,12025.671283305612
9,99551.15478771544,cuv,diesel,12025.671283305612
2,12884.620154702825,pickup,hev,14914.052714375968
2.5,20341.64651189081,pickup,hev,14914.052714375968
3,27798.672869078793,pickup,hev,14914.052714375968
3.5,35255.69922626678,pickup,hev,14914.052714375968
4,42712.72558345476,pickup,hev,14914.052714375968
4.5,50169.751940642745,pickup,hev,14914.052714375968
5,57626.77829783073,pickup,hev,14914.052714375968
5.5,65083.804655018714,pickup,hev,14914.052714375968
6,72540.8310122067,pickup,hev,14914.052714375968
6.5,79997.85736939468,pickup,hev,14914.052714375968
7,87454.88372658266,pickup,hev,14914.052714375968
7.5,94911.91008377065,pickup,hev,14914.052714375968
8,102368.93644095864,pickup,hev,14914.052714375968
8.5,109825.96279814662,pickup,hev,14914.052714375968
9,117282.9891553346,pickup,hev,14914.052714375968
2,5509.743674543002,suv,hev,13922.487662152651
2.5,12470.987505619327,suv,hev,13922.487662152651
3,19432.23133669565,suv,hev,13922.487662152651
3.5,26393.47516777198,suv,hev,13922.487662152651
4,33354.7189988483,suv,hev,13922.487662152651
4.5,40315.96282992463,suv,hev,13922.487662152651
5,47277.20666100096,suv,hev,13922.487662152651
5.5,54238.45049207728,suv,hev,13922.487662152651
6,61199.694323153606,suv,hev,13922.487662152651
6.5,68160.93815422994,suv,hev,13922.487662152651
7,75122.18198530626,suv,hev,13922.487662152651
7.5,82083.42581638259,suv,hev,13922.487662152651
8,89044.66964745891,suv,hev,13922.487662152651
8.5,96005.91347853524,suv,hev,13922.487662152651
9,102967.15730961156,suv,hev,13922.487662152651
2,14403.807928222435,car,phev,10333.653317721735
2.5,19570.634587083303,car,phev,10333.653317721735
3,24737.46124594417,car,phev,10333.653317721735
3.5,29904.287904805038,car,phev,10333.653317721735
4,35071.114563665906,car,phev,10333.653317721735
4.5,40237.94122252677,car,phev,10333.653317721735
5,45404.76788138764,car,phev,10333.653317721735
5.5,50571.59454024851,car,phev,10333.653317721735
6,55738.421199109376,car,phev,10333.653317721735
6.5,60905.247857970244,car,phev,10333.653317721735
7,66072.07451683111,car,phev,10333.653317721735
7.5,71238.90117569198,car,phev,10333.653317721735
8,76405.72783455285,car,phev,10333.653317721735
8.5,81572.55449341371,car,phev,10333.653317721735
9,86739.38115227458,car,phev,10333.653317721735
2,15932.30111977203,cuv,phev,9962.556392177872
2.5,20913.579315860967,cuv,phev,9962.556392177872
3,25894.857511949904,cuv,phev,9962.556392177872
3.5,30876.135708038837,cuv,phev,9962.556392177872
4,35857.413904127774,cuv,phev,9962.556392177872
4.5,40838.69210021671,cuv,phev,9962.556392177872
5,45819.97029630565,cuv,phev,9962.556392177872
5.5,50801.24849239458,cuv,phev,9962.556392177872
6,55782.52668848352,cuv,phev,9962.556392177872
6.5,60763.804884572455,cuv,phev,9962.556392177872
7,65745.0830806614,cuv,phev,9962.556392177872
7.5,70726.36127675032,cuv,phev,9962.556392177872
8,75707.63947283926,cuv,phev,9962.556392177872
8.5,80688.9176689282,cuv,phev,9962.556392177872
9,85670.19586501713,cuv,phev,9962.556392177872
2,15901.152704594857,suv,phev,9236.633382744332
2.5,20519.469395967022,suv,phev,9236.633382744332
3,25137.786087339187,suv,phev,9236.633382744332
3.5,29756.102778711356,suv,phev,9236.633382744332
4,34374.41947008352,suv,phev,9236.633382744332
4.5,38992.73616145569,suv,phev,9236.633382744332
5,43611.05285282785,suv,phev,9236.633382744332
5.5,48229.36954420002,suv,phev,9236.633382744332
6,52847.68623557218,suv,phev,9236.633382744332
6.5,57466.00292694435,suv,phev,9236.633382744332
7,62084.31961831652,suv,phev,9236.633382744332
7.5,66702.63630968868,suv,phev,9236.633382744332
8,71320.95300106084,suv,phev,9236.633382744332
8.5,75939.26969243301,suv,phev,9236.633382744332
9,80557.58638380519,suv,phev,9236.633382744332
2,8328.273429472845,minivan,bev,5939.1861032779625
2.5,11297.866481111825,minivan,bev,5939.1861032779625
3,14267.459532750807,minivan,bev,5939.1861032779625
3.5,17237.05258438979,minivan,bev,5939.1861032779625
4,20206.64563602877,minivan,bev,5939.1861032779625
4.5,23176.238687667752,minivan,bev,5939.1861032779625
5,26145.831739306734,minivan,bev,5939.1861032779625
5.5,29115.42479094571,minivan,bev,5939.1861032779625
6,32085.017842584693,minivan,bev,5939.1861032779625
6.5,35054.610894223675,minivan,bev,5939.1861032779625
7,38024.20394586266,minivan,bev,5939.1861032779625
7.5,40993.79699750164,minivan,bev,5939.1861032779625
8,43963.39004914062,minivan,bev,5939.1861032779625
8.5,46932.9831007796,minivan,bev,5939.1861032779625
9,49902.57615241858,minivan,bev,5939.1861032779625
