listing_year,state,year,vehicle_type,avg_price,n_listings,dep_annual_rate,n_make_model_year
2018,AK,2004,cuv,9562.73426664955,8,0.06493018263220596,1561
2018,AK,2004,pickup,14244.578233328963,31,0.06493018263220596,1561
2018,AK,2004,minivan,9605.732691322362,1,0.06493018263220596,1561
2018,AK,2004,car,9885.443089498844,7,0.06493018263220596,1561
2018,AK,2004,suv,10516.26302554636,13,0.06493018263220596,1561
2018,AK,2005,cuv,9595.951137762208,19,0.06493018263220596,1561
2018,AK,2005,minivan,7737.759386391641,6,0.06493018263220596,1561
2018,AK,2005,car,8607.808201977665,27,0.06493018263220596,1561
2018,AK,2005,pickup,18431.482232596914,69,0.06493018263220596,1561
2018,AK,2005,suv,14101.12043056966,39,0.06493018263220596,1561
2018,AK,2006,cuv,12223.691807536685,32,0.06493018263220596,1561
2018,AK,2006,minivan,8942.500258057042,9,0.06493018263220596,1561
2018,AK,2006,car,9530.837632664538,37,0.06493018263220596,1561
2018,AK,2006,pickup,18986.93197968633,92,0.06493018263220596,1561
2018,AK,2006,suv,12943.062641010609,44,0.06493018263220596,1561
2018,AK,2007,cuv,12950.151962329035,52,0.06493018263220596,1561
2018,AK,2007,car,8872.121626283633,39,0.06493018263220596,1561
2018,AK,2007,minivan,10115.48663827235,9,0.06493018263220596,1561
2018,AK,2007,pickup,20589.31733462031,108,0.06493018263220596,1561
2018,AK,2007,suv,18387.18949955246,79,0.06493018263220596,1561
2018,AK,2008,cuv,15250.936884256085,64,0.06493018263220596,1561
2018,AK,2008,minivan,10366.065641430177,19,0.06493018263220596,1561
2018,AK,2008,car,11263.463922858129,73,0.06493018263220596,1561
2018,AK,2008,pickup,22694.881593546874,136,0.06493018263220596,1561
2018,AK,2008,suv,19277.401469515335,69,0.06493018263220596,1561
2018,AK,2009,cuv,15433.967981323569,42,0.06493018263220596,1561
2018,AK,2009,car,12261.07073730954,60,0.06493018263220596,1561
2018,AK,2009,pickup,24592.0017542261,89,0.06493018263220596,1561
2018,AK,2009,minivan,13193.264767583278,4,0.06493018263220596,1561
2018,AK,2009,suv,21414.501953823605,39,0.06493018263220596,1561
2018,AK,2010,cuv,17370.740219772248,87,0.06493018263220596,1561
2018,AK,2010,car,14331.231599838115,95,0.06493018263220596,1561
2018,AK,2010,minivan,11067.944620521987,10,0.06493018263220596,1561
2018,AK,2010,pickup,25833.42584139483,124,0.06493018263220596,1561
2018,AK,2010,suv,23202.78683213284,60,0.06493018263220596,1561
2018,AK,2011,cuv,18447.883009381956,115,0.06493018263220596,1561
2018,AK,2011,car,16943.36213483915,134,0.06493018263220596,1561
2018,AK,2011,minivan,16552.926201216913,27,0.06493018263220596,1561
2018,AK,2011,pickup,28762.36469066719,205,0.06493018263220596,1561
2018,AK,2011,suv,25420.377486816913,75,0.06493018263220596,1561
2018,AK,2012,cuv,19713.71752370734,133,0.06493018263220596,1561
2018,AK,2012,car,14515.87611194277,169,0.06493018263220596,1561
2018,AK,2012,minivan,18355.751988299402,21,0.06493018263220596,1561
2018,AK,2012,pickup,33844.733450058025,212,0.06493018263220596,1561
2018,AK,2012,suv,29690.027107101185,95,0.06493018263220596,1561
2018,AK,2013,cuv,22201.332580718412,169,0.06493018263220596,1561
2018,AK,2013,car,17843.157899322734,261,0.06493018263220596,1561
2018,AK,2013,minivan,19740.65118761131,18,0.06493018263220596,1561
2018,AK,2013,pickup,35928.32538362581,344,0.06493018263220596,1561
2018,AK,2013,suv,32153.010965266898,125,0.06493018263220596,1561
2018,AK,2014,cuv,25144.804386080974,219,0.06493018263220596,1561
2018,AK,2014,car,20267.438986341527,343,0.06493018263220596,1561
2018,AK,2014,minivan,23466.921548302304,24,0.06493018263220596,1561
2018,AK,2014,pickup,39724.95418452366,491,0.06493018263220596,1561
2018,AK,2014,suv,34910.08937617803,176,0.06493018263220596,1561
2018,AK,2015,cuv,29784.880179907585,382,0.06493018263220596,1561
2018,AK,2015,car,22970.569914949538,543,0.06493018263220596,1561
2018,AK,2015,minivan,28005.471678052603,30,0.06493018263220596,1561
2018,AK,2015,pickup,45305.124865177386,598,0.06493018263220596,1561
2018,AK,2015,suv,41156.956478815344,266,0.06493018263220596,1561
2018,AK,2016,cuv,29704.380095511395,451,0.06493018263220596,1561
2018,AK,2016,car,23419.74460908124,582,0.06493018263220596,1561
2018,AK,2016,minivan,28141.666217746282,68,0.06493018263220596,1561
2018,AK,2016,pickup,46733.29191697096,440,0.06493018263220596,1561
