listing_year,state,year,vehicle_type,avg_price,n_listings,n_make_model_year
2018,CO,2018,minivan,47474.29189758572,1363,567
2018,CO,2018,pickup,55450.251197309386,19404,567
2018,CO,2018,suv,61355.72211817484,14659,567
2018,CO,2019,car,37603.5995284932,5155,567
2018,CO,2019,cuv,47833.00244229492,8273,567
2018,CO,2019,minivan,50975.41967527692,443,567
2018,CO,2019,pickup,58627.53612111152,4510,567
2018,CO,2019,suv,57478.57122824519,3818,567
2018,CT,2016,car,37207.7205528903,86,560
2018,CT,2016,cuv,38596.7925574354,36,560
2018,CT,2016,pickup,51105.20554752448,24,560
2018,CT,2016,suv,72944.0580613927,12,560
2018,CT,2017,car,34633.10137767979,1875,560
2018,CT,2017,cuv,41683.80657062951,1451,560
2018,CT,2017,minivan,41475.600357989686,193,560
2018,CT,2017,pickup,50019.30607301048,844,560
2018,CT,2017,suv,61826.33060882168,472,560
2018,CT,2018,car,37004.29320900774,22972,560
2018,CT,2018,cuv,43879.1074343632,33845,560
2018,CT,2018,minivan,45059.25079335887,1262,560
2018,CT,2018,pickup,52645.61359878185,8644,560
2018,CT,2018,suv,62789.10505802353,7557,560
2018,CT,2019,car,41520.86029085671,5262,560
2018,CT,2019,cuv,47315.19922156086,8646,560
2018,CT,2019,minivan,47447.63045689295,360,560
2018,CT,2019,pickup,56678.44765100776,1652,560
2018,CT,2019,suv,59228.98242788818,2089,560
2018,DE,2016,car,41522.399650868385,12,468
2018,DE,2016,suv,49170.62584476463,5,468
2018,DE,2016,cuv,62493.608437165494,3,468
2018,DE,2016,pickup,56923.16490791809,4,468
2018,DE,2017,car,34557.9715110699,533,468
2018,DE,2017,cuv,37052.87410378991,448,468
2018,DE,2017,suv,57086.399940932846,217,468
2018,DE,2017,pickup,51488.25588886357,328,468
2018,DE,2017,minivan,36544.844288633554,75,468
2018,DE,2018,car,33543.474599264206,5618,468
2018,DE,2018,minivan,43249.39631415949,403,468
2018,DE,2018,cuv,41397.00896505013,6929,468
2018,DE,2018,suv,61164.54410477401,2302,468
2018,DE,2018,pickup,51816.67807130273,3436,468
2018,DE,2019,minivan,45736.697263820555,102,468
2018,DE,2019,car,37297.3228523836,1064,468
2018,DE,2019,cuv,45218.42998631814,1939,468
2018,DE,2019,suv,52621.97775897228,666,468
2018,DE,2019,pickup,56760.315381889646,733,468
2018,FL,2016,car,38847.385311230275,279,644
2018,FL,2016,cuv,37953.34845339854,87,644
2018,FL,2016,pickup,48772.08048456418,104,644
2018,FL,2016,suv,64663.176104927676,44,644
2018,FL,2016,minivan,37624.051433525776,10,644
2018,FL,2017,car,33003.42001478183,10452,644
2018,FL,2017,cuv,37465.97224607885,6959,644
2018,FL,2017,minivan,40136.51540715872,1069,644
2018,FL,2017,pickup,45281.629104164014,5159,644
2018,FL,2017,suv,57503.05914127606,3433,644
2018,FL,2018,car,33587.8647033282,175201,644
2018,FL,2018,cuv,40341.929770445895,167728,644
2018,FL,2018,minivan,44414.71218788133,10095,644
2018,FL,2018,pickup,47599.068670493994,76044,644
2018,FL,2018,suv,62300.8091595631,45864,644
2018,FL,2019,car,37190.04147280851,43504,644
2018,FL,2019,cuv,46032.641954921186,42399,644
2018,FL,2019,minivan,48275.49094469089,3532,644
2018,FL,2019,pickup,52677.674151333864,15133,644
2018,FL,2019,suv,61195.8560965779,10970,644
2018,GA,2016,car,34630.372844990496,148,591
2018,GA,2016,suv,65631.35478421723,19,591
2018,GA,2016,cuv,38386.07625177225,32,591
2018,GA,2016,pickup,50811.23891021776,61,591
2018,GA,2016,minivan,48262.79727230896,18,591
2018,GA,2017,car,31142.810332874076,5182,591
2018,GA,2017,minivan,40331.63569570621,317,591
2018,GA,2017,cuv,38423.48220293064,3225,591
2018,GA,2017,pickup,47567.267933460746,3456,591
2018,GA,2017,suv,61530.25101567166,1505,591
2018,GA,2018,car,32589.89718190374,66784,591
2018,GA,2018,minivan,45234.64795559183,3899,591
2018,GA,2018,cuv,40751.130430386045,61062,591
2018,GA,2018,pickup,49699.87426710946,37765,591
2018,GA,2018,suv,61469.585175663735,22476,591
2018,GA,2019,car,35079.479718498624,14707,591
2018,GA,2019,minivan,48669.47341205117,1552,591
2018,GA,2019,cuv,46940.37574331154,13728,591
2018,GA,2019,pickup,55423.148696409844,6937,591
2018,GA,2019,suv,53924.214862080305,5230,591
2018,HI,2016,car,34934.88372433747,29,464
2018,HI,2016,pickup,55716.07985077219,13,464
2018,HI,2016,minivan,37524.134442258015,8,464
2018,HI,2016,suv,107336.15622700837,6,464
2018,HI,2016,cuv,46132.21204796303,6,464
2018,HI,2017,car,33478.41657140884,791,464
2018,HI,2017,minivan,40623.81358144469,60,464
2018,HI,2017,cuv,41839.82050437226,626,464
2018,HI,2017,pickup,42937.36874605691,785,464
2018,HI,2017,suv,62947.79051559567,127,464
2018,HI,2018,car,34112.33198781557,7605,464
2018,HI,2018,cuv,40927.52380852413,6992,464
2018,HI,2018,minivan,46206.45098607201,927,464
2018,HI,2018,pickup,47137.36929626092,5820,464
2018,HI,2018,suv,54810.42200041167,2106,464
2018,HI,2019,car,35533.63601803903,1049,464
2018,HI,2019,cuv,44192.80735731897,1343,464
2018,HI,2019,minivan,46312.58954942378,247,464
2018,HI,2019,pickup,50374.615516705744,606,464
2018,HI,2019,suv,49552.124654526684,467,464
2018,IA,2016,cuv,42987.656669306525,10,518
2018,IA,2016,pickup,49632.834203659295,10,518
2018,IA,2016,car,47470.339656474505,33,518
2018,IA,2016,minivan,28195.612969858837,1,518
2018,IA,2016,suv,29167.079998547608,1,518
2018,IA,2017,car,34185.49740440232,1079,518
2018,IA,2017,minivan,38518.783637183704,246,518
2018,IA,2017,pickup,52420.53615383932,1041,518
2018,IA,2017,cuv,38056.56147862088,1157,518
2018,IA,2017,suv,64808.2438908091,566,518
2018,IA,2018,car,32893.58220466396,12743,518
2018,IA,2018,minivan,43957.31133325231,2338,518
2018,IA,2018,cuv,41370.13376209015,20001,518
2018,IA,2018,pickup,54645.08903786168,16511,518
2018,IA,2018,suv,62709.182622208165,6269,518
2018,IA,2019,car,37231.94779888385,2048,518
2018,IA,2019,minivan,49341.95425449715,574,518
2018,IA,2019,cuv,46029.26710386764,5339,518
2018,IA,2019,pickup,59954.47555636057,2979,518
2018,IA,2019,suv,55296.487852478305,1935,518
2018,ID,2016,car,41681.491105961126,17,460
2018,ID,2016,suv,82824.16388044435,3,460
2018,ID,2016,cuv,32574.10935862218,2,460
2018,ID,2016,pickup,55204.84708956224,2,460
2018,ID,2017,car,33818.7344503722,691,460
2018,ID,2017,cuv,35989.10239052534,593,460
2018,ID,2017,minivan,40128.59972957173,84,460
2018,ID,2017,pickup,49301.93511125957,463,460
2018,ID,2017,suv,64945.60262457484,286,460
2018,ID,2018,car,32806.144449812426,5230,460
2018,ID,2018,cuv,39815.404000442555,8496,460
2018,ID,2018,minivan,43844.59159255509,415,460
2018,ID,2018,pickup,54407.10119522691,8749,460
2018,ID,2018,suv,62866.74628593666,4056,460
2018,ID,2019,car,35559.30594689783,975,460
2018,ID,2019,cuv,45995.07348170204,1684,460
2018,ID,2019,minivan,48048.70162864248,88,460
2018,ID,2019,pickup,59503.235540470225,1724,460
2018,ID,2019,suv,54230.58669799629,1023,460
2018,IL,2016,cuv,35669.66523428343,85,612
2018,IL,2016,car,38768.24477865953,185,612
2018,IL,2016,pickup,53543.12160608796,36,612
2018,IL,2016,suv,66224.83460338265,24,612
2018,IL,2016,minivan,35979.31174797506,3,612
2018,IL,2017,car,32927.25643860026,6085,612
2018,IL,2017,minivan,35844.363351601285,917,612
2018,IL,2017,cuv,36864.52137137858,5510,612
2018,IL,2017,pickup,48449.6290979968,2476,612
2018,IL,2017,suv,62696.77943991865,2171,612
2018,IL,2018,car,32552.157256141687,72109,612
2018,IL,2018,minivan,43073.14727042359,8552,612
2018,IL,2018,cuv,40368.77679488999,96829,612
2018,IL,2018,pickup,51985.191721651754,30461,612
2018,IL,2018,suv,60153.99064702032,25369,612
2018,IL,2019,car,37722.93171283683,12680,612
2018,IL,2019,cuv,46063.87155579536,23021,612
2018,IL,2019,minivan,47490.581042728176,2410,612
2018,IL,2019,pickup,57687.621161072144,5371,612
2018,IL,2019,suv,51569.4049696341,7677,612
2018,IN,2016,minivan,35695.94338065797,8,587
2018,IN,2016,car,37879.354646480395,86,587
2018,IN,2016,pickup,51983.09116791049,30,587
2018,IN,2016,cuv,41931.537442886656,50,587
2018,IN,2016,suv,74559.99725696472,15,587
2018,IN,2017,car,33953.26535747016,3000,587
