price_bin,vehicle_type,year_2018,year_2024
$40k-$50k,car,0.17000171985779491,0.0761966274845889
$30k-$40k,car,0.28856298424761156,0.2152068884964074
$60k+,car,0.11717043578986248,0.07915027364307314
$50k-$60k,car,0.11219690867594069,0.05635529656127394
$60k+,cuv,0.29471388086096323,0.2266994007775777
$50k-$60k,minivan,0.03634874748654953,0.0349492028232941
$40k-$50k,minivan,0.06016843291536263,0.06133542215575969
$60k+,minivan,0.0035388407105914794,0.003568938685254558
$0-$30k,car,0.6672912572101294,0.5399199087343185
$60k+,pickup,0.2643659045267187,0.34785573446754015
$50k-$60k,pickup,0.37164115428877,0.3684904848449881
$40k-$50k,pickup,0.3372250773370265,0.24958346398884296
$30k-$40k,pickup,0.08845912234566279,0.07470274983372441
$40k-$50k,cuv,0.29767230825282814,0.4909519758236294
$50k-$60k,cuv,0.2874264194970836,0.41173960496961304
$30k-$40k,cuv,0.5578711117178937,0.6907497206421288
$0-$30k,cuv,0.2890627693793008,0.43848178718129416
$30k-$40k,minivan,0.022083626268980208,0.007577107980186794
$0-$30k,minivan,0.008192086221079439,6.202707338613905e-6
$0-$30k,pickup,0.014222734504686892,0.021449439108260623
$50k-$60k,suv,0.19238677005165616,0.12846541080083082
$40k-$50k,suv,0.1349324616369878,0.12193251054717903
$60k+,suv,0.32021093811186413,0.34272565242655445
$30k-$40k,suv,0.043023155419851744,0.011763533047552586
$0-$30k,suv,0.021231152684803436,1.4266226878811982e-4
