age_years,rr_predicted,make,model,powertrain,vehicle_type
3.5,0.6234252914966478,ford,mustang mach-e,bev,cuv
4,0.5719588364263845,ford,mustang mach-e,bev,cuv
4.5,0.5247411598924242,ford,mustang mach-e,bev,cuv
5,0.4814215068442025,ford,mustang mach-e,bev,cuv
1,0.8304575519861559,volkswagen,id.4,bev,cuv
1.5,0.7816490489515351,volkswagen,id.4,bev,cuv
2,0.7357091693194988,volkswagen,id.4,bev,cuv
2.5,0.6924693154131216,volkswagen,id.4,bev,cuv
3,0.6517707985510742,volkswagen,id.4,bev,cuv
3.5,0.6134642566659718,volkswagen,id.4,bev,cuv
4,0.5774091061510522,volkswagen,id.4,bev,cuv
4.5,0.543473025923485,volkswagen,id.4,bev,cuv
5,0.5115314718108395,volkswagen,id.4,bev,cuv
1,0.7715070906273591,volvo,xc40,bev,cuv
1.5,0.7305873500183504,volvo,xc40,bev,cuv
2,0.691837939652382,volvo,xc40,bev,cuv
2.5,0.6551437480137465,volvo,xc40,bev,cuv
3,0.6203957689530009,volvo,xc40,bev,cuv
3.5,0.5874907778662177,volvo,xc40,bev,cuv
4,0.5563310250492707,volvo,xc40,bev,cuv
4.5,0.526823945316214,volvo,xc40,bev,cuv
5,0.498881883019127,volvo,xc40,bev,cuv
1,0.8270618840757181,tesla,model y,bev,cuv
1.5,0.7839054619435039,tesla,model y,bev,cuv
2,0.743000959295326,tesla,model y,bev,cuv
2.5,0.7042308700657591,tesla,model y,bev,cuv
3,0.6674838197031867,tesla,model y,bev,cuv
3.5,0.632654245224941,tesla,model y,bev,cuv
4,0.5996420919672951,tesla,model y,bev,cuv
4.5,0.5683525261591633,tesla,model y,bev,cuv
5,0.5386956624938205,tesla,model y,bev,cuv
1,0.8894816220618718,subaru,solterra,bev,cuv
1.5,0.7283186615886749,subaru,solterra,bev,cuv
2,0.596356416660648,subaru,solterra,bev,cuv
2.5,0.4883040823320001,subaru,solterra,bev,cuv
3,0.3998294814320405,subaru,solterra,bev,cuv
3.5,0.32738537318539646,subaru,solterra,bev,cuv
4,0.26806723254087755,subaru,solterra,bev,cuv
4.5,0.21949679810964254,subaru,solterra,bev,cuv
5,0.17972671976250726,subaru,solterra,bev,cuv
1,0.8023703457222775,chevrolet,bolt euv,bev,cuv
1.5,0.7603008147893426,chevrolet,bolt euv,bev,cuv
2,0.7204370550970235,chevrolet,bolt euv,bev,cuv
2.5,0.6826634146126488,chevrolet,bolt euv,bev,cuv
3,0.6468703051203267,chevrolet,bolt euv,bev,cuv
3.5,0.6129538842855567,chevrolet,bolt euv,bev,cuv
4,0.5808157543896904,chevrolet,bolt euv,bev,cuv
4.5,0.5503626768602143,chevrolet,bolt euv,bev,cuv
5,0.5215063017686582,chevrolet,bolt euv,bev,cuv
1,0.8619231823259911,hyundai,ioniq 5,bev,cuv
1.5,0.7904008527967751,hyundai,ioniq 5,bev,cuv
2,0.7248134415133837,hyundai,ioniq 5,bev,cuv
2.5,0.6646684693463413,hyundai,ioniq 5,bev,cuv
3,0.609514323052259,hyundai,ioniq 5,bev,cuv
3.5,0.5589368642252693,hyundai,ioniq 5,bev,cuv
4,0.5125563196374493,hyundai,ioniq 5,bev,cuv
4.5,0.4700244296185928,hyundai,ioniq 5,bev,cuv
5,0.4310218330632442,hyundai,ioniq 5,bev,cuv
1,0.796398058258272,bmw,ix,bev,cuv
1.5,0.7672082193052028,bmw,ix,bev,cuv
2,0.7390882557608827,bmw,ix,bev,cuv
2.5,0.711998954206146,bmw,ix,bev,cuv
3,0.6859025384847366,bmw,ix,bev,cuv
3.5,0.6607626170242827,bmw,ix,bev,cuv
4,0.6365441320880821,bmw,ix,bev,cuv
4.5,0.6132133108869251,bmw,ix,bev,cuv
5,0.5907376184827846,bmw,ix,bev,cuv
1,0.8486317209495912,toyota,bz4x,bev,cuv
1.5,0.7517898085655949,toyota,bz4x,bev,cuv
2,0.6659990456527679,toyota,bz4x,bev,cuv
2.5,0.5899983263363124,toyota,bz4x,bev,cuv
3,0.522670456289419,toyota,bz4x,bev,cuv
3.5,0.46302573021549237,toyota,bz4x,bev,cuv
4,0.41018738339186694,toyota,bz4x,bev,cuv
4.5,0.36337870341581474,toyota,bz4x,bev,cuv
5,0.321911612698268,toyota,bz4x,bev,cuv
1,0.7739042303587307,volvo,c40,bev,cuv
1.5,0.6887324177234158,volvo,c40,bev,cuv
2,0.6129341649977328,volvo,c40,bev,cuv
2.5,0.54547786767943085,volvo,c40,bev,cuv
3,0.4854454542099139,volvo,c40,bev,cuv
3.5,0.43201989113802486,volvo,c40,bev,cuv
4,0.3844740633995192,volvo,c40,bev,cuv
4.5,0.34216087837425707,volvo,c40,bev,cuv
5,0.30450445903860035,volvo,c40,bev,cuv
1,0.7724592993765407,lexus,rz,bev,cuv
1.5,0.7301256676230891,lexus,rz,bev,cuv
2,0.6901120757460211,lexus,rz,bev,cuv
2.5,0.6522913769638046,lexus,rz,bev,cuv
3,0.616543392609645,lexus,rz,bev,cuv
3.5,0.5827545302529792,lexus,rz,bev,cuv
4,0.5508174227493259,lexus,rz,bev,cuv
4.5,0.5206305870715426,lexus,rz,bev,cuv
5,0.49209810183839336,lexus,rz,bev,cuv
1,0.9662653649254588,mercedes-benz,eqe suv,bev,cuv
1.5,0.8434867473815476,mercedes-benz,eqe suv,bev,cuv
2,0.7363090087195541,mercedes-benz,eqe suv,bev,cuv
2.5,0.6427498215052959,mercedes-benz,eqe suv,bev,cuv
3,0.5610787429635293,mercedes-benz,eqe suv,bev,cuv
3.5,0.4897852092253601,mercedes-benz,eqe suv,bev,cuv
4,0.4275505963902162,mercedes-benz,eqe suv,bev,cuv
4.5,0.37322383165213097,mercedes-benz,eqe suv,bev,cuv
5,0.3258001034010153,mercedes-benz,eqe suv,bev,cuv
1,0.7943432269107609,audi,q4 e-tron,bev,cuv
1.5,0.7524917987164833,audi,q4 e-tron,bev,cuv
2,0.7128453896909503,audi,q4 e-tron,bev,cuv
2.5,0.6752878243595294,audi,q4 e-tron,bev,cuv
3,0.6397090481653089,audi,q4 e-tron,bev,cuv
3.5,0.6060048049773352,audi,q4 e-tron,bev,cuv
4,0.5740763315899169,audi,q4 e-tron,bev,cuv
4.5,0.543830068317795,audi,q4 e-tron,bev,cuv
5,0.5151773848391352,audi,q4 e-tron,bev,cuv
1,0.9002721280322838,mercedes-benz,eqs,bev,cuv
1.5,0.7556029694871904,mercedes-benz,eqs,bev,cuv
2,0.6341814099540648,mercedes-benz,eqs,bev,cuv
2.5,0.5322716783448848,mercedes-benz,eqs,bev,cuv
3,0.4467383230117096,mercedes-benz,eqs,bev,cuv
3.5,0.3749497434616466,mercedes-benz,eqs,bev,cuv
4,0.31469722403526507,mercedes-benz,eqs,bev,cuv
4.5,0.2641269784616668,mercedes-benz,eqs,bev,cuv
5,0.22168311450841433,mercedes-benz,eqs,bev,cuv
1,0.8482621032529194,kia,ev6,bev,cuv
1.5,0.7818431536740399,kia,ev6,bev,cuv
2,0.7206248099530015,kia,ev6,bev,cuv
2.5,0.66419986448625,kia,ev6,bev,cuv
3,0.6121929940384996,kia,ev6,bev,cuv
3.5,0.5642582631956875,kia,ev6,bev,cuv
4,0.5200768232976398,kia,ev6,bev,cuv
4.5,0.47935479154438304,kia,ev6,bev,cuv
5,0.4418212961684996,kia,ev6,bev,cuv
1,0.9915097133238325,mercedes-benz,eqb,bev,cuv
1.5,0.87483451376698,mercedes-benz,eqb,bev,cuv
2,0.7718889852448128,mercedes-benz,eqb,bev,cuv
2.5,0.6810574984939001,mercedes-benz,eqb,bev,cuv
3,0.6009145422740514,mercedes-benz,eqb,bev,cuv
3.5,0.5302023513652965,mercedes-benz,eqb,bev,cuv
4,0.4678111671743917,mercedes-benz,eqb,bev,cuv
4.5,0.4127618211604011,mercedes-benz,eqb,bev,cuv
5,0.3641903677432719,mercedes-benz,eqb,bev,cuv
1,0.7953399517339392,nissan,ariya,bev,cuv
1.5,0.6821699645013227,nissan,ariya,bev,cuv
2,0.5851030863635138,nissan,ariya,bev,cuv
2.5,0.5018479843544119,nissan,ariya,bev,cuv
3,0.43043936234531394,nissan,ariya,bev,cuv
3.5,0.3691915688265364,nissan,ariya,bev,cuv
4,0.31665880589994116,nissan,ariya,bev,cuv
4.5,0.2716010001872212,nissan,ariya,bev,cuv
5,0.2329545300123695,nissan,ariya,bev,cuv
1,0.8098836716420433,cadillac,lyriq,bev,cuv
1.5,0.7583106956812259,cadillac,lyriq,bev,cuv
2,0.7100218603230487,cadillac,lyriq,bev,cuv
2.5,0.6648080331818589,cadillac,lyriq,bev,cuv
3,0.6224733993148357,cadillac,lyriq,bev,cuv
3.5,0.5828346131740758,cadillac,lyriq,bev,cuv
4,0.5457200045619338,cadillac,lyriq,bev,cuv
4.5,0.5109688351507183,cadillac,lyriq,bev,cuv
5,0.4784306023468322,cadillac,lyriq,bev,cuv
1,0.8301075473074251,honda,prologue,bev,cuv
1.5,0.7377977741858319,honda,prologue,bev,cuv
2,0.6557530495406675,honda,prologue,bev,cuv
2.5,0.5828318775512817,honda,prologue,bev,cuv
3,0.5180196992265543,honda,prologue,bev,cuv
3.5,0.4604147767520813,honda,prologue,bev,cuv
4,0.40921564752880046,honda,prologue,bev,cuv
4.5,0.3637099733499343,honda,prologue,bev,cuv
5,0.32326462957382335,honda,prologue,bev,cuv
1,0.7939183583165695,chevrolet,blazer ev,bev,cuv
1.5,0.7117447261565717,chevrolet,blazer ev,bev,cuv
2,0.6380763839317817,chevrolet,blazer ev,bev,cuv
2.5,0.572033001115479,chevrolet,blazer ev,bev,cuv
3,0.5128253648079939,chevrolet,blazer ev,bev,cuv
3.5,0.45974594870858,chevrolet,blazer ev,bev,cuv
4,0.412160458235309,chevrolet,blazer ev,bev,cuv
4.5,0.3695002507578803,chevrolet,blazer ev,bev,cuv
5,0.33125554036575966,chevrolet,blazer ev,bev,cuv
1,0.7387505678728221,kia,ev9,bev,cuv
1.5,0.8074687572905211,kia,ev9,bev,cuv
2,0.8825790765585484,kia,ev9,bev,cuv
2.5,0.9646761182348522,kia,ev9,bev,cuv
3,1.0544097835645083,kia,ev9,bev,cuv
3.5,1.1524904272647167,kia,ev9,bev,cuv
4,1.2596944808749952,kia,ev9,bev,cuv
4.5,1.3768705991884502,kia,ev9,bev,cuv
5,1.5049463784208543,kia,ev9,bev,cuv
1,0.7110917030009742,audi,q8 e-tron,bev,cuv
1.5,0.6528264911726293,audi,q8 e-tron,bev,cuv
2,0.5993353962339554,audi,q8 e-tron,bev,cuv
2.5,0.5502272380731666,audi,q8 e-tron,bev,cuv
3,0.5051428889733792,audi,q8 e-tron,bev,cuv
3.5,0.4637526473134006,audi,q8 e-tron,bev,cuv
4,0.42575382646140986,audi,q8 e-tron,bev,cuv
4.5,0.3908685412291218,audi,q8 e-tron,bev,cuv
5,0.3588416756987842,audi,q8 e-tron,bev,cuv
1,1.0127289384905351,chevrolet,equinox ev,bev,cuv
1.5,0.7692808065112954,chevrolet,equinox ev,bev,cuv
2,0.5843547436777426,chevrolet,equinox ev,bev,cuv
2.5,0.44388273250603516,chevrolet,equinox ev,bev,cuv
3,0.33717854154305044,chevrolet,equinox ev,bev,cuv
3.5,0.2561247837581807,chevrolet,equinox ev,bev,cuv
4,0.1945553965414466,chevrolet,equinox ev,bev,cuv
4.5,0.14778656625099262,chevrolet,equinox ev,bev,cuv
5,0.11226041298528683,chevrolet,equinox ev,bev,cuv
1,0.5654284586378779,mercedes-benz,b-class,bev,minivan
1.5,0.5486025274998745,mercedes-benz,b-class,bev,minivan
2,0.5322772997741875,mercedes-benz,b-class,bev,minivan
2.5,0.516437875607427,mercedes-benz,b-class,bev,minivan
3,0.5010697985336968,mercedes-benz,b-class,bev,minivan
3.5,0.48615904228033896,mercedes-benz,b-class,bev,minivan
4,0.47169199796631106,mercedes-benz,b-class,bev,minivan
4.5,0.4576554616815123,mercedes-benz,b-class,bev,minivan
5,0.4440366224357219,mercedes-benz,b-class,bev,minivan
1,0.8246823800287164,bmw,i7,bev,car
1.5,0.8037114686989312,bmw,i7,bev,car
2,0.7832738282776215,bmw,i7,bev,car
2.5,0.7633558981780606,bmw,i7,bev,car
3,0.7439444626467192,bmw,i7,bev,car
3.5,0.7250266419944751,bmw,i7,bev,car
4,0.7065898840508062,bmw,i7,bev,car
4.5,0.6886219558352954,bmw,i7,bev,car
5,0.6711109354409195,bmw,i7,bev,car
1,0.6807073840821928,dodge,caravan,cv,minivan
1.5,0.6538549412624811,dodge,caravan,cv,minivan
2,0.6280617695807754,dodge,caravan,cv,minivan
2.5,0.6032860830680545,dodge,caravan,cv,minivan
3,0.5794877441219374,dodge,caravan,cv,minivan
3.5,0.5566281984821634,dodge,caravan,cv,minivan
4,0.5346704127711497,dodge,caravan,cv,minivan
4.5,0.5135788144984397,dodge,caravan,cv,minivan
5,0.493319234431846,dodge,caravan,cv,minivan
1,0.33621014480467976,dodge,ram pickup,cv,pickup
1.5,0.32255807297186173,dodge,ram pickup,cv,pickup
2,0.3094603540287719,dodge,ram pickup,cv,pickup
2.5,0.2968944780494362,dodge,ram pickup,cv,pickup
3,0.2848388491407588,dodge,ram pickup,cv,pickup
3.5,0.2732727483275131,dodge,ram pickup,cv,pickup
4,0.26217629794441655,dodge,ram pickup,cv,pickup
4.5,0.2515304274740926,dodge,ram pickup,cv,pickup
5,0.2413168407722081,dodge,ram pickup,cv,pickup
1,0.9945349028510974,lexus,nx hybrid,hev,cuv
1.5,0.9673720098584487,lexus,nx hybrid,hev,cuv
2,0.9409509940524275,lexus,nx hybrid,hev,cuv
2.5,0.9152515931671484,lexus,nx hybrid,hev,cuv
3,0.8902540983429043,lexus,nx hybrid,hev,cuv
3.5,0.8659393390114504,lexus,nx hybrid,hev,cuv
4,0.8422886681941039,lexus,nx hybrid,hev,cuv
4.5,0.8192839482013834,lexus,nx hybrid,hev,cuv
5,0.7969075367232225,lexus,nx hybrid,hev,cuv
1,1.007651378205649,toyota,highlander,hev,cuv
1.5,0.9712240969838443,toyota,highlander,hev,cuv
2,0.9361136867016451,toyota,highlander,hev,cuv
2.5,0.9022725415808156,toyota,highlander,hev,cuv
3,0.8696547768243137,toyota,highlander,hev,cuv
3.5,0.8382161664016524,toyota,highlander,hev,cuv
4,0.8079140830833637,toyota,highlander,hev,cuv
4.5,0.7787074406432559,toyota,highlander,hev,cuv
5,0.7505566381500999,toyota,highlander,hev,cuv
1,0.8748867442478652,toyota,rav4,hev,cuv
1.5,0.8659757247273392,toyota,rav4,hev,cuv
2,0.8571554669761706,toyota,rav4,hev,cuv
2.5,0.8484250465548203,toyota,rav4,hev,cuv
3,0.8397835484394812,toyota,rav4,hev,cuv
3.5,0.8312300669261751,toyota,rav4,hev,cuv
4,0.8227637055358272,toyota,rav4,hev,cuv
4.5,0.8143835769203079,toyota,rav4,hev,cuv
5,0.8060888027694305,toyota,rav4,hev,cuv
1,0.8467236706147602,subaru,xv crosstrek,hev,cuv
1.5,0.8168042636970805,subaru,xv crosstrek,hev,cuv
2,0.7879420740763446,subaru,xv crosstrek,hev,cuv
2.5,0.7600997444474418,subaru,xv crosstrek,hev,cuv
3,0.733241237544433,subaru,xv crosstrek,hev,cuv
3.5,0.7073317894963033,subaru,xv crosstrek,hev,cuv
4,0.6823378648309101,subaru,xv crosstrek,hev,cuv
4.5,0.6582271130688926,subaru,xv crosstrek,hev,cuv
5,0.6349683268513545,subaru,xv crosstrek,hev,cuv
1,0.842841226317597,kia,niro,hev,cuv
1.5,0.8252571453164504,kia,niro,hev,cuv
2,0.8080399185874969,kia,niro,hev,cuv
2.5,0.7911818925003293,kia,niro,hev,cuv
3,0.7746755731011833,kia,niro,hev,cuv
3.5,0.7585136227816248,kia,niro,hev,cuv
4,0.7426888570167388,kia,niro,hev,cuv
4.5,0.7271942411713694,kia,niro,hev,cuv
5,0.7120228873729896,kia,niro,hev,cuv
1,1.0897498874562883,lexus,rx,hev,cuv
1.5,1.0197751735096034,lexus,rx,hev,cuv
2,0.9542936562572075,lexus,rx,hev,cuv
2.5,0.8930168198139345,lexus,rx,hev,cuv
3,0.8356746743956678,lexus,rx,hev,cuv
3.5,0.7820145667265386,lexus,rx,hev,cuv
4,0.7318000668319238,lexus,rx,hev,cuv
4.5,0.6848099263123792,lexus,rx,hev,cuv
5,0.6408371035085951,lexus,rx,hev,cuv
1,1.04367373083586,lexus,rx hybrid,hev,cuv
1.5,1.0125407437239968,lexus,rx hybrid,hev,cuv
2,0.9823364595753971,lexus,rx hybrid,hev,cuv
2.5,0.9530331750029467,lexus,rx hybrid,hev,cuv
3,0.9246040130168709,lexus,rx hybrid,hev,cuv
3.5,0.8970228983731429,lexus,rx hybrid,hev,cuv
4,0.8702645336572552,lexus,rx hybrid,hev,cuv
4.5,0.844304376081416,lexus,rx hybrid,hev,cuv
5,0.8191186149738899,lexus,rx hybrid,hev,cuv
1,0.9722864259352495,lexus,ux hybrid,hev,cuv
1.5,0.949987195424429,lexus,ux hybrid,hev,cuv
2,0.9281993941263492,lexus,ux hybrid,hev,cuv
2.5,0.9069112924954766,lexus,ux hybrid,hev,cuv
3,0.8861114300014901,lexus,ux hybrid,hev,cuv
3.5,0.8657886089594611,lexus,ux hybrid,hev,cuv
4,0.8459318885015377,lexus,ux hybrid,hev,cuv
4.5,0.8265305786868866,lexus,ux hybrid,hev,cuv
5,0.8075742347467232,lexus,ux hybrid,hev,cuv
1,0.9373421762152635,infiniti,qx60,hev,cuv
1.5,0.8784947088963871,infiniti,qx60,hev,cuv
2,0.8233417562357853,infiniti,qx60,hev,cuv
2.5,0.7716513721670921,infiniti,qx60,hev,cuv
3,0.7232061724764932,infiniti,qx60,hev,cuv
3.5,0.6778024205921372,infiniti,qx60,hev,cuv
4,0.6352491707687867,infiniti,qx60,hev,cuv
4.5,0.5953674650643649,infiniti,qx60,hev,cuv
5,0.5579895807312787,infiniti,qx60,hev,cuv
1,1.1326658565654375,ford,escape,hev,cuv
1.5,1.0628416054258394,ford,escape,hev,cuv
2,0.9973217358643967,ford,escape,hev,cuv
2.5,0.9358409002337233,ford,escape,hev,cuv
3,0.8781501084915148,ford,escape,hev,cuv
3.5,0.82401571982061,ford,escape,hev,cuv
4,0.7732184964115835,ford,escape,hev,cuv
4.5,0.7255527155757985,ford,escape,hev,cuv
5,0.6808253365930852,ford,escape,hev,cuv
1,0.9809067440345777,nissan,pathfinder hybrid,hev,cuv
1.5,0.9048197542805239,nissan,pathfinder hybrid,hev,cuv
2,0.8346346813448027,nissan,pathfinder hybrid,hev,cuv
2.5,0.7698937252507937,nissan,pathfinder hybrid,hev,cuv
3,0.7101745966576657,nissan,pathfinder hybrid,hev,cuv
3.5,0.655087762370821,nissan,pathfinder hybrid,hev,cuv
4,0.6042739045126293,nissan,pathfinder hybrid,hev,cuv
4.5,0.5574015767802453,nissan,pathfinder hybrid,hev,cuv
5,0.5141650425028574,nissan,pathfinder hybrid,hev,cuv
1,1.0082030242459392,honda,cr-v,hev,cuv
1.5,0.9882856208325524,honda,cr-v,hev,cuv
2,0.9687616926907048,honda,cr-v,hev,cuv
2.5,0.9496234665787691,honda,cr-v,hev,cuv
3,0.930863322818226,honda,cr-v,hev,cuv
3.5,0.9124737922599705,honda,cr-v,hev,cuv
4,0.894447553310551,honda,cr-v,hev,cuv
4.5,0.8767774290171556,honda,cr-v,hev,cuv
5,0.8594563842101854,honda,cr-v,hev,cuv
1,0.943674191961906,toyota,venza,hev,cuv
1.5,0.9256337636206369,toyota,venza,hev,cuv
2,0.9079382181399023,toyota,venza,hev,cuv
2.5,0.8905809623177428,toyota,venza,hev,cuv
3,0.8735555289958994,toyota,venza,hev,cuv
3.5,0.8568555746502091,toyota,venza,hev,cuv
4,0.8404748770270636,toyota,venza,hev,cuv
4.5,0.8244073328250539,toyota,venza,hev,cuv
5,0.8086469554209342,toyota,venza,hev,cuv
1,0.6256388398306839,audi,q5,hev,cuv
1.5,0.5868952184968445,audi,q5,hev,cuv
2,0.5505508538882846,audi,q5,hev,cuv
2.5,0.5164571684421536,audi,q5,hev,cuv
3,0.4844747854835046,audi,q5,hev,cuv
3.5,0.454472959446544,audi,q5,hev,cuv
4,0.42632904138028155,audi,q5,hev,cuv
4.5,0.39992797755354315,audi,q5,hev,cuv
5,0.3751618391096191,audi,q5,hev,cuv
1,0.7840954503644666,porsche,cayenne,hev,cuv
1.5,0.745063787831743,porsche,cayenne,hev,cuv
2,0.7079750911450274,porsche,cayenne,hev,cuv
2.5,0.6727326409735563,porsche,cayenne,hev,cuv
3,0.6392445325997321,porsche,cayenne,hev,cuv
3.5,0.6074234362514194,porsche,cayenne,hev,cuv
4,0.5771863693647128,porsche,cayenne,hev,cuv
4.5,0.5484544801832877,porsche,cayenne,hev,cuv
5,0.5211528421300075,porsche,cayenne,hev,cuv
1,0.8782286437849423,nissan,rogue,hev,cuv
1.5,0.8555973254109837,nissan,rogue,hev,cuv
2,0.8335491997795619,nissan,rogue,hev,cuv
2.5,0.8120692384345649,nissan,rogue,hev,cuv
3,0.7911428001923487,nissan,rogue,hev,cuv
3.5,0.7707556211620066,nissan,rogue,hev,cuv
4,0.7508938050228064,nissan,rogue,hev,cuv
4.5,0.7315438135521732,nissan,rogue,hev,cuv
5,0.7126924573977579,nissan,rogue,hev,cuv
1,0.8847951120517265,subaru,crosstrek,hev,cuv
1.5,0.8687912360749501,subaru,crosstrek,hev,cuv
2,0.853076832816537,subaru,crosstrek,hev,cuv
2.5,0.8376466663914552,subaru,crosstrek,hev,cuv
3,0.8224955956195982,subaru,crosstrek,hev,cuv
3.5,0.807618572312793,subaru,crosstrek,hev,cuv
4,0.7930106395927946,subaru,crosstrek,hev,cuv
4.5,0.7786669302397018,subaru,crosstrek,hev,cuv
5,0.7645826650702479,subaru,crosstrek,hev,cuv
1,1.10411185337075,bmw,x3,hev,cuv
1.5,1.030205146567431,bmw,x3,hev,cuv
2,0.9612455846515034,bmw,x3,hev,cuv
2.5,0.8969020171280341,bmw,x3,hev,cuv
3,0.8368654599542126,bmw,x3,hev,cuv
3.5,0.7808476117680541,bmw,x3,hev,cuv
4,0.7285794694373375,bmw,x3,hev,cuv
4.5,0.6798100362805124,bmw,x3,hev,cuv
5,0.6343051167563248,bmw,x3,hev,cuv
1,0.9667751644265976,kia,sorento,hev,cuv
1.5,0.9322978937357286,kia,sorento,hev,cuv
2,0.8990501562786766,kia,sorento,hev,cuv
2.5,0.8669881042698494,kia,sorento,hev,cuv
3,0.8360694536294973,kia,sorento,hev,cuv
3.5,0.8062534282186172,kia,sorento,hev,cuv
4,0.77750070606256,kia,sorento,hev,cuv
4.5,0.7497733674924183,kia,sorento,hev,cuv
5,0.7230348451358035,kia,sorento,hev,cuv
1,0.9642114640858991,kia,sportage,hev,cuv
1.5,0.932270701037108,kia,sportage,hev,cuv
2,0.901388017447169,kia,sportage,hev,cuv
2.5,0.8715283630532085,kia,sportage,hev,cuv
3,0.8426578486780513,kia,sportage,hev,cuv
3.5,0.8147437077677416,kia,sportage,hev,cuv
4,0.7877542592031842,kia,sportage,hev,cuv
4.5,0.7616588713436977,kia,sportage,hev,cuv
5,0.7364279272616727,kia,sportage,hev,cuv
1,0.8478365185563256,bmw,i5,bev,car
1.5,0.8428682083368401,bmw,i5,bev,car
2,0.8379290123462146,bmw,i5,bev,car
2.5,0.8330187599754724,bmw,i5,bev,car
3,0.828137281615403,bmw,i5,bev,car
3.5,0.8232844086507038,bmw,i5,bev,car
4,0.8184599734541553,bmw,i5,bev,car
4.5,0.8136638093808312,bmw,i5,bev,car
5,0.8088957507623421,bmw,i5,bev,car
1,0.6817668396912459,kia,niro,phev,cuv
1.5,0.67433394587216,kia,niro,phev,cuv
2,0.666982088424029,kia,niro,phev,cuv
2.5,0.6597103838560375,kia,niro,phev,cuv
3,0.65251795830954,kia,niro,phev,cuv
3.5,0.6454039474530455,kia,niro,phev,cuv
4,0.6383674963783499,kia,niro,phev,cuv
4.5,0.6314077594977988,kia,niro,phev,cuv
5,0.6245239004426717,kia,niro,phev,cuv
1,1.0209800115212817,kia,sorento,phev,cuv
1.5,0.9462500814395152,kia,sorento,phev,cuv
2,0.876989957217811,kia,sorento,phev,cuv
2.5,0.8127992801764004,kia,sorento,phev,cuv
3,0.7533069956138573,kia,sorento,phev,cuv
3.5,0.6981692079225498,kia,sorento,phev,cuv
4,0.6470671926974388,kia,sorento,phev,cuv
4.5,0.599705554347209,kia,sorento,phev,cuv
5,0.5558105185577842,kia,sorento,phev,cuv
1,0.9659993225817897,hyundai,santa fe,phev,cuv
1.5,0.8908784747971595,hyundai,santa fe,phev,cuv
2,0.8215993927777469,hyundai,santa fe,phev,cuv
2.5,0.7577077921502775,hyundai,santa fe,phev,cuv
3,0.6987847159236584,hyundai,santa fe,phev,cuv
3.5,0.6444437872583771,hyundai,santa fe,phev,cuv
4,0.5943286758740333,hyundai,santa fe,phev,cuv
4.5,0.5481107614814548,hyundai,santa fe,phev,cuv
5,0.5054869789177978,hyundai,santa fe,phev,cuv
1,1.0324034902157868,ford,escape,phev,cuv
1.5,0.9504182989431593,ford,escape,phev,cuv
2,0.874943712924883,ford,escape,phev,cuv
2.5,0.8054627121952784,ford,escape,phev,cuv
3,0.7414993343608073,ford,escape,phev,cuv
3.5,0.6826154141375327,ford,escape,phev,cuv
4,0.6284075818083219,ford,escape,phev,cuv
4.5,0.5785045000384645,ford,escape,phev,cuv
5,0.532564320121196,ford,escape,phev,cuv
1,1.3399208277815156,gmc,sierra ev,bev,pickup
1.5,0.8751847867866935,gmc,sierra ev,bev,pickup
2,0.5716370662668466,gmc,sierra ev,bev,pickup
2.5,0.3733713616411499,gmc,sierra ev,bev,pickup
3,0.24387182343541378,gmc,sierra ev,bev,pickup
3.5,0.15928770220698937,gmc,sierra ev,bev,pickup
4,0.10404060508901769,gmc,sierra ev,bev,pickup
4.5,0.06795532459387796,gmc,sierra ev,bev,pickup
5,0.04438580626004809,gmc,sierra ev,bev,pickup
