year,state,powertrain,count
2016,Hawaii,Methanol,0
2016,Hawaii,Plug-In Hybrid Electric (PHEV),1200
2016,Hawaii,Propane,0
2016,Hawaii,Unknown,7400
2016,Idaho,Battery Electric (BEV),400
2016,Idaho,Biodiesel,0
2016,Idaho,Compressed Natural Gas (CNG),12800
2016,Idaho,Diesel,123000
2016,Idaho,Flex Fuel (E85),107100
2016,Idaho,Fuel Cell,0
2016,Idaho,Gasoline,1354300
2016,Idaho,Hybrid Electric (HEV),16300
2016,Idaho,Methanol,0
2016,Idaho,Plug-In Hybrid Electric (PHEV),600
2016,Idaho,Propane,0
2016,Idaho,Unknown,56200
2016,Illinois,Battery Electric (BEV),5800
2016,Illinois,Biodiesel,0
2016,Illinois,Compressed Natural Gas (CNG),18500
2016,Illinois,Diesel,200900
2016,Illinois,Flex Fuel (E85),968600
2016,Illinois,Fuel Cell,0
2016,Illinois,Gasoline,8748600
2016,Illinois,Hybrid Electric (HEV),146500
2016,Illinois,Methanol,0
2016,Illinois,Plug-In Hybrid Electric (PHEV),6000
2016,Illinois,Propane,0
2016,Illinois,Unknown,94500
2016,Indiana,Battery Electric (BEV),1300
2016,Indiana,Biodiesel,0
2016,Indiana,Compressed Natural Gas (CNG),19900
2016,Indiana,Diesel,156800
2016,Indiana,Flex Fuel (E85),569300
2016,Indiana,Fuel Cell,0
2016,Indiana,Gasoline,4855200
2016,Indiana,Hybrid Electric (HEV),54500
2016,Indiana,Methanol,0
2016,Indiana,Plug-In Hybrid Electric (PHEV),2400
2016,Indiana,Propane,0
2016,Indiana,Unknown,82500
2016,Iowa,Battery Electric (BEV),400
2016,Iowa,Biodiesel,0
2016,Iowa,Compressed Natural Gas (CNG),13400
2016,Iowa,Diesel,107600
2016,Iowa,Flex Fuel (E85),367400
2016,Iowa,Fuel Cell,0
2016,Iowa,Gasoline,2418600
2016,Iowa,Hybrid Electric (HEV),26900
2016,Iowa,Methanol,0
2016,Iowa,Plug-In Hybrid Electric (PHEV),1200
2016,Iowa,Propane,0
2016,Iowa,Unknown,80600
2016,Kansas,Battery Electric (BEV),600
2016,Kansas,Biodiesel,0
2016,Kansas,Compressed Natural Gas (CNG),14200
2016,Kansas,Diesel,90000
2016,Kansas,Flex Fuel (E85),250600
2016,Kansas,Fuel Cell,0
2016,Kansas,Gasoline,2095000
2016,Kansas,Hybrid Electric (HEV),26200
2016,Kansas,Methanol,0
2016,Kansas,Plug-In Hybrid Electric (PHEV),1000
2016,Kansas,Propane,0
2016,Kansas,Unknown,42400
2016,Kentucky,Battery Electric (BEV),500
2016,Kentucky,Biodiesel,0
2016,Kentucky,Compressed Natural Gas (CNG),15600
2016,Kentucky,Diesel,115200
2016,Kentucky,Flex Fuel (E85),336000
2016,Kentucky,Fuel Cell,0
2016,Kentucky,Gasoline,3285300
2016,Kentucky,Hybrid Electric (HEV),30900
2016,Kentucky,Methanol,0
2016,Kentucky,Plug-In Hybrid Electric (PHEV),900
2016,Kentucky,Propane,0
2016,Kentucky,Unknown,47500
2016,Louisiana,Battery Electric (BEV),400
2016,Louisiana,Biodiesel,0
2016,Louisiana,Compressed Natural Gas (CNG),11900
2016,Louisiana,Diesel,152400
2016,Louisiana,Flex Fuel (E85),469700
2016,Louisiana,Fuel Cell,0
2016,Louisiana,Gasoline,3047300
2016,Louisiana,Hybrid Electric (HEV),17700
2016,Louisiana,Methanol,0
2016,Louisiana,Plug-In Hybrid Electric (PHEV),500
2016,Louisiana,Propane,0
2016,Louisiana,Unknown,36600
2016,Maine,Battery Electric (BEV),300
2016,Maine,Biodiesel,0
2016,Maine,Compressed Natural Gas (CNG),1700
2016,Maine,Diesel,31000
2016,Maine,Flex Fuel (E85),104700
2016,Maine,Fuel Cell,0
2016,Maine,Gasoline,1011700
2016,Maine,Hybrid Electric (HEV),17900
2016,Maine,Methanol,0
2016,Maine,Plug-In Hybrid Electric (PHEV),1000
2016,Maine,Propane,0
2016,Maine,Unknown,12900
2016,Maryland,Battery Electric (BEV),3200
2016,Maryland,Biodiesel,0
2016,Maryland,Compressed Natural Gas (CNG),6100
2016,Maryland,Diesel,105200
2016,Maryland,Flex Fuel (E85),327800
2016,Maryland,Fuel Cell,0
2016,Maryland,Gasoline,4039100
2016,Maryland,Hybrid Electric (HEV),85900
2016,Maryland,Methanol,0
2016,Maryland,Plug-In Hybrid Electric (PHEV),5000
2016,Maryland,Propane,0
2016,Maryland,Unknown,44500
2016,Massachusetts,Battery Electric (BEV),3600
2016,Massachusetts,Biodiesel,0
2016,Massachusetts,Compressed Natural Gas (CNG),3400
2016,Massachusetts,Diesel,79000
2016,Massachusetts,Flex Fuel (E85),315600
2016,Massachusetts,Fuel Cell,0
2016,Massachusetts,Gasoline,4623900
2016,Massachusetts,Hybrid Electric (HEV),98300
2016,Massachusetts,Methanol,0
2016,Massachusetts,Plug-In Hybrid Electric (PHEV),5200
2016,Massachusetts,Propane,0
2016,Massachusetts,Unknown,38800
2016,Michigan,Battery Electric (BEV),1600
2016,Michigan,Biodiesel,0
