age_bin,powertrain,vehicle_type,quantile,rr
178.5,All,All,75,0.4018104145665355
181.5,All,All,25,0.20231616891106236
181.5,All,All,50,0.2878753728239701
181.5,All,All,75,0.39864511484154846
13.5,All,CUV,25,0.8377963542212236
13.5,All,CUV,50,0.9536975006003673
13.5,All,CUV,75,1.0693693968585678
16.5,All,CUV,25,0.791451137103414
16.5,All,CUV,50,0.9146649382050388
16.5,All,CUV,75,1.0344469019798925
19.5,All,CUV,25,0.726298040400094
19.5,All,CUV,50,0.8574082133984353
19.5,All,CUV,75,0.999390566340171
22.5,All,CUV,25,0.7205944878617102
22.5,All,CUV,50,0.8556384269695911
22.5,All,CUV,75,0.9974383132026421
25.5,All,CUV,25,0.7211445898053674
25.5,All,CUV,50,0.8562828330963734
25.5,All,CUV,75,0.9897438138423336
28.5,All,CUV,25,0.6924639542793056
28.5,All,CUV,50,0.823455042038947
28.5,All,CUV,75,0.951925624421502
31.5,All,CUV,25,0.6631754163806283
31.5,All,CUV,50,0.8000905689209064
31.5,All,CUV,75,0.931395202601636
34.5,All,CUV,25,0.6863141378286263
34.5,All,CUV,50,0.8132965096357034
34.5,All,CUV,75,0.9343914134989724
37.5,All,CUV,25,0.6914601183569726
37.5,All,CUV,50,0.8034877933730186
37.5,All,CUV,75,0.9159071371182418
40.5,All,CUV,25,0.6711742656582823
40.5,All,CUV,50,0.7785213991222315
40.5,All,CUV,75,0.8863248537057759
43.5,All,CUV,25,0.6419539531184613
43.5,All,CUV,50,0.7482182890757008
43.5,All,CUV,75,0.860550927857006
46.5,All,CUV,25,0.6521234484635281
46.5,All,CUV,50,0.7584979599046563
46.5,All,CUV,75,0.8662723142100615
49.5,All,CUV,25,0.6495231075167472
49.5,All,CUV,50,0.7504325918857941
49.5,All,CUV,75,0.8551168741939867
52.5,All,CUV,25,0.6270660564110149
52.5,All,CUV,50,0.7263476838598587
52.5,All,CUV,75,0.8328725770250172
55.5,All,CUV,25,0.584625639127344
55.5,All,CUV,50,0.6871025265490884
55.5,All,CUV,75,0.8036902930410114
58.5,All,CUV,25,0.5815311120574388
58.5,All,CUV,50,0.6910404154143538
58.5,All,CUV,75,0.8089197403894263
61.5,All,CUV,25,0.5685212777215363
61.5,All,CUV,50,0.6758672418034923
61.5,All,CUV,75,0.7912665516501345
64.5,All,CUV,25,0.5451950215567204
64.5,All,CUV,50,0.6486974259335789
64.5,All,CUV,75,0.7603530940064296
67.5,All,CUV,25,0.507124826592071
67.5,All,CUV,50,0.6161335779239521
67.5,All,CUV,75,0.7325922805999062
70.5,All,CUV,25,0.5046771054119458
70.5,All,CUV,50,0.6167458282273697
70.5,All,CUV,75,0.735391073575457
73.5,All,CUV,25,0.4927980513529552
73.5,All,CUV,50,0.6020729742427071
73.5,All,CUV,75,0.719400815359195
76.5,All,CUV,25,0.4731851318104576
76.5,All,CUV,50,0.5786791609881953
76.5,All,CUV,75,0.693339578483659
79.5,All,CUV,25,0.43533890042758644
79.5,All,CUV,50,0.5453138756931871
79.5,All,CUV,75,0.6662171832591073
82.5,All,CUV,25,0.4361898148728344
82.5,All,CUV,50,0.5492485958747939
82.5,All,CUV,75,0.6710510089271576
85.5,All,CUV,25,0.4269131783861907
85.5,All,CUV,50,0.5359288472943097
85.5,All,CUV,75,0.6554450125966613
88.5,All,CUV,25,0.40915448196846
88.5,All,CUV,50,0.5137264909405578
88.5,All,CUV,75,0.6290323588614684
91.5,All,CUV,25,0.37659039542595946
91.5,All,CUV,50,0.4801449597616026
91.5,All,CUV,75,0.5979801990798552
94.5,All,CUV,25,0.37763554756794676
94.5,All,CUV,50,0.4834597647761453
94.5,All,CUV,75,0.6027836576586951
97.5,All,CUV,25,0.3711788506803918
97.5,All,CUV,50,0.47320615794478155
97.5,All,CUV,75,0.5895393568851656
100.5,All,CUV,25,0.35658375235077516
100.5,All,CUV,50,0.4567513255791301
100.5,All,CUV,75,0.5706764179018647
103.5,All,CUV,25,0.33590144927683074
103.5,All,CUV,50,0.4321350162013138
103.5,All,CUV,75,0.5454422259814984
106.5,All,CUV,25,0.338076407718375
106.5,All,CUV,50,0.4360575551322227
106.5,All,CUV,75,0.5521315222085799
109.5,All,CUV,25,0.33128860077889316
109.5,All,CUV,50,0.42900487913910734
109.5,All,CUV,75,0.5416597619423146
112.5,All,CUV,25,0.3186965643612762
112.5,All,CUV,50,0.413550475424162
112.5,All,CUV,75,0.5249610704174348
115.5,All,CUV,25,0.30000807673543345
115.5,All,CUV,50,0.38905231628274756
115.5,All,CUV,75,0.49580891111713027
118.5,All,CUV,25,0.30160853625947487
118.5,All,CUV,50,0.39224252829725087
118.5,All,CUV,75,0.5020224009137337
121.5,All,CUV,25,0.29661046464408225
121.5,All,CUV,50,0.3856666926235302
121.5,All,CUV,75,0.4925592260951409
124.5,All,CUV,25,0.2862718928216332
124.5,All,CUV,50,0.3723352162860812
124.5,All,CUV,75,0.4781521055553703
127.5,All,CUV,25,0.2698624831740089
127.5,All,CUV,50,0.34974858492136546
127.5,All,CUV,75,0.4480561908012766
130.5,All,CUV,25,0.27120926682468277
130.5,All,CUV,50,0.3523028424470303
130.5,All,CUV,75,0.4533028135181426
133.5,All,CUV,25,0.2665591619484932
133.5,All,CUV,50,0.34753210201207846
133.5,All,CUV,75,0.44749472628564924
136.5,All,CUV,25,0.2558710153504924
136.5,All,CUV,50,0.33541127282092065
136.5,All,CUV,75,0.4354635117283034
139.5,All,CUV,25,0.24500268684448584
139.5,All,CUV,50,0.31885495909951017
139.5,All,CUV,75,0.411652478341208
142.5,All,CUV,25,0.24683175605954477
142.5,All,CUV,50,0.32299203914570923
142.5,All,CUV,75,0.417842886356331
145.5,All,CUV,25,0.23985542137499682
145.5,All,CUV,50,0.3158834796439026
145.5,All,CUV,75,0.4106781236989992
148.5,All,CUV,25,0.23009533706295088
148.5,All,CUV,50,0.30534670305907263
148.5,All,CUV,75,0.401672758123006
151.5,All,CUV,25,0.2200804163439699
151.5,All,CUV,50,0.2888595269196285
151.5,All,CUV,75,0.37977878414818256
154.5,All,CUV,25,0.2237899713802631
154.5,All,CUV,50,0.294205343977918
154.5,All,CUV,75,0.3877299177240854
157.5,All,CUV,25,0.21867766436767117
157.5,All,CUV,50,0.28918102207079116
157.5,All,CUV,75,0.3814447471748728
160.5,All,CUV,25,0.20959247074908147
160.5,All,CUV,50,0.2794310696604812
160.5,All,CUV,75,0.36885471577539053
163.5,All,CUV,25,0.20246114247151364
163.5,All,CUV,50,0.2662706338024262
163.5,All,CUV,75,0.3497975772997208
166.5,All,CUV,25,0.20735606163299952
166.5,All,CUV,50,0.2735051685921827
166.5,All,CUV,75,0.3593852660100886
169.5,All,CUV,25,0.20378784637355138
169.5,All,CUV,50,0.2700343046409651
169.5,All,CUV,75,0.35546629429525206
172.5,All,CUV,25,0.1978656438687804
172.5,All,CUV,50,0.2630705394769049
172.5,All,CUV,75,0.3476531501989722
175.5,All,CUV,25,0.19013859838921232
175.5,All,CUV,50,0.25259505755265466
175.5,All,CUV,75,0.3333403006320954
178.5,All,CUV,25,0.19650046085011094
178.5,All,CUV,50,0.26145228488080496
178.5,All,CUV,75,0.34456244003498143
181.5,All,CUV,25,0.19164610761909148
181.5,All,CUV,50,0.25430846855544936
181.5,All,CUV,75,0.3403097687444769
13.5,All,Car,25,0.7534786862395886
13.5,All,Car,50,0.8834307737735794
13.5,All,Car,75,1.015094988199147
16.5,All,Car,25,0.6996934756298919
16.5,All,Car,50,0.8314175033846044
16.5,All,Car,75,0.9749714150230827
19.5,All,Car,25,0.6465257513346415
19.5,All,Car,50,0.7561741579041807
19.5,All,Car,75,0.9118642022923151
22.5,All,Car,25,0.6457704865079423
22.5,All,Car,50,0.7578584495919352
22.5,All,Car,75,0.9136209804197072
25.5,All,Car,25,0.6489464977272883
25.5,All,Car,50,0.7689276962064483
25.5,All,Car,75,0.9226401938196062
28.5,All,Car,25,0.6274932947187002
28.5,All,Car,50,0.7457550801435968
28.5,All,Car,75,0.8930011303251683
31.5,All,Car,25,0.5989259194554463
31.5,All,Car,50,0.710571623353903
31.5,All,Car,75,0.8629718414206309
34.5,All,Car,25,0.6251527722713206
34.5,All,Car,50,0.7502326358443783
34.5,All,Car,75,0.8984041855787702
37.5,All,Car,25,0.6430248712868634
37.5,All,Car,50,0.7648171319265288
37.5,All,Car,75,0.9006318235820171
40.5,All,Car,25,0.627303013532797
40.5,All,Car,50,0.7406037981109754
40.5,All,Car,75,0.8745836860994068
43.5,All,Car,25,0.5830349235931211
43.5,All,Car,50,0.6870954054992229
43.5,All,Car,75,0.82339006036188
46.5,All,Car,25,0.5838644309828266
46.5,All,Car,50,0.6935159422862034
46.5,All,Car,75,0.8315951753999489
49.5,All,Car,25,0.5849650757088498
49.5,All,Car,50,0.693048357354043
49.5,All,Car,75,0.8244934649685786
52.5,All,Car,25,0.5631638336993252
52.5,All,Car,50,0.6736267789708449
52.5,All,Car,75,0.8074940378505864
55.5,All,Car,25,0.5232613101149671
55.5,All,Car,50,0.6288112875767048
55.5,All,Car,75,0.7681658875823613
58.5,All,Car,25,0.5252702785114057
58.5,All,Car,50,0.642358425137908
58.5,All,Car,75,0.7889806134468076
61.5,All,Car,25,0.5256355793174685
61.5,All,Car,50,0.6465966723020303
61.5,All,Car,75,0.7883369423032036
64.5,All,Car,25,0.5100919473775262
64.5,All,Car,50,0.6312808037198413
64.5,All,Car,75,0.7702847871521561
67.5,All,Car,25,0.4699446891972582
67.5,All,Car,50,0.583723875899222
67.5,All,Car,75,0.7283554564398705
70.5,All,Car,25,0.4717339350432584
70.5,All,Car,50,0.593624648345539
70.5,All,Car,75,0.7410524316162647
73.5,All,Car,25,0.4723449096402199
73.5,All,Car,50,0.5911131846706158
73.5,All,Car,75,0.7350419904359777
76.5,All,Car,25,0.4582661503183804
76.5,All,Car,50,0.5730296644725315
76.5,All,Car,75,0.7108443520610399
79.5,All,Car,25,0.42005841309509817
79.5,All,Car,50,0.529542810868647
79.5,All,Car,75,0.6706520505970552
82.5,All,Car,25,0.4258934730304867
82.5,All,Car,50,0.5417408796067936
82.5,All,Car,75,0.6846554220244153
85.5,All,Car,25,0.42660229348459094
85.5,All,Car,50,0.5414492557923148
85.5,All,Car,75,0.6792337687964783
88.5,All,Car,25,0.4128713729101137
88.5,All,Car,50,0.5245101632859107
88.5,All,Car,75,0.6578336041142283
91.5,All,Car,25,0.38363422891922355
91.5,All,Car,50,0.4904606172063509
91.5,All,Car,75,0.6213381723912524
94.5,All,Car,25,0.38911606542218763
94.5,All,Car,50,0.5015097796232008
94.5,All,Car,75,0.6359710847058809
97.5,All,Car,25,0.38984237606017474
97.5,All,Car,50,0.5001885729154674
97.5,All,Car,75,0.632263941563983
100.5,All,Car,25,0.3762028713919158
100.5,All,Car,50,0.4852101993894324
100.5,All,Car,75,0.6127910561887528
103.5,All,Car,25,0.35098666852596755
103.5,All,Car,50,0.45380457455810697
103.5,All,Car,75,0.5798754704719391
106.5,All,Car,25,0.35545088017048593
106.5,All,Car,50,0.46512971741607423
106.5,All,Car,75,0.59520242741117
109.5,All,Car,25,0.35502491547034737
109.5,All,Car,50,0.46332376975158107
109.5,All,Car,75,0.5908332170261219
112.5,All,Car,25,0.34387397881860005
112.5,All,Car,50,0.44952181868250884
112.5,All,Car,75,0.574281269137182
115.5,All,Car,25,0.32047009457877856
115.5,All,Car,50,0.4205514585620369
115.5,All,Car,75,0.542029400396579
118.5,All,Car,25,0.32556344248252617
118.5,All,Car,50,0.4286072727776213
118.5,All,Car,75,0.5533398008917186
121.5,All,Car,25,0.32391398173381836
121.5,All,Car,50,0.4256074706280418
121.5,All,Car,75,0.5510195760590492
124.5,All,Car,25,0.3128070620151943
124.5,All,Car,50,0.41255431379467894
124.5,All,Car,75,0.5358240187828562
127.5,All,Car,25,0.29090725993019867
127.5,All,Car,50,0.3852263004479178
127.5,All,Car,75,0.5061569759894996
130.5,All,Car,25,0.29524379175776194
130.5,All,Car,50,0.391274596851236
130.5,All,Car,75,0.5150506692849557
133.5,All,Car,25,0.2928468668269446
133.5,All,Car,50,0.38929633728600743
133.5,All,Car,75,0.5114976655420052
136.5,All,Car,25,0.28245754559188146
136.5,All,Car,50,0.37767385602248227
136.5,All,Car,75,0.4969099389509352
139.5,All,Car,25,0.2617324095082848
139.5,All,Car,50,0.3503482893374772
139.5,All,Car,75,0.4640083005340278
142.5,All,Car,25,0.26690482928282994
142.5,All,Car,50,0.35750489690598203
142.5,All,Car,75,0.4734473339599628
145.5,All,Car,25,0.2642098617534024
145.5,All,Car,50,0.35450104261214016
145.5,All,Car,75,0.4700260646289056
148.5,All,Car,25,0.25333160254010484
148.5,All,Car,50,0.3407741605242575
148.5,All,Car,75,0.4541319379146723
151.5,All,Car,25,0.23734531135703177
151.5,All,Car,50,0.3191293161146258
151.5,All,Car,75,0.4268108785645062
154.5,All,Car,25,0.24165780892596397
154.5,All,Car,50,0.32677435501414953
154.5,All,Car,75,0.43718308521638216
157.5,All,Car,25,0.23999581204874637
157.5,All,Car,50,0.32437647285974247
157.5,All,Car,75,0.43389132561620597
160.5,All,Car,25,0.23120412209594
160.5,All,Car,50,0.31305081001527363
160.5,All,Car,75,0.41709587449646696
163.5,All,Car,25,0.21742590462977757
163.5,All,Car,50,0.29350153987729205
163.5,All,Car,75,0.39150136011605863
166.5,All,Car,25,0.22392855250600796
166.5,All,Car,50,0.30319792693771824
166.5,All,Car,75,0.406112477606959
169.5,All,Car,25,0.2230763652766946
169.5,All,Car,50,0.30218422558778757
169.5,All,Car,75,0.40525283898169656
172.5,All,Car,25,0.21736476415554948
172.5,All,Car,50,0.29553875055010054
172.5,All,Car,75,0.3963748381333598
175.5,All,Car,25,0.2039843845417734
175.5,All,Car,50,0.28104826337239863
175.5,All,Car,75,0.3769368628950078
178.5,All,Car,25,0.2130496041452876
178.5,All,Car,50,0.29299955040182674
178.5,All,Car,75,0.3918627059668529
181.5,All,Car,25,0.20757284996460826
181.5,All,Car,50,0.28735903720288597
181.5,All,Car,75,0.3867554908912376
13.5,All,Minivan,25,0.7522361718856299
13.5,All,Minivan,50,0.9272120165823003
13.5,All,Minivan,75,1.0840826851221725
16.5,All,Minivan,25,0.7009097410245042
16.5,All,Minivan,50,0.8711415581442516
16.5,All,Minivan,75,1.0229361396208327
19.5,All,Minivan,25,0.623251127466193
19.5,All,Minivan,50,0.7435804433556993
19.5,All,Minivan,75,0.9326458237388127
22.5,All,Minivan,25,0.6042482016885898
22.5,All,Minivan,50,0.711300315563692
22.5,All,Minivan,75,0.9044311026791714
25.5,All,Minivan,25,0.572778069433434
25.5,All,Minivan,50,0.6750335254873027
25.5,All,Minivan,75,0.8910559497279114
28.5,All,Minivan,25,0.5427480177660199
28.5,All,Minivan,50,0.6525191598388579
28.5,All,Minivan,75,0.8585914272300282
31.5,All,Minivan,25,0.5302628304124175
31.5,All,Minivan,50,0.6390318219132703
31.5,All,Minivan,75,0.8271337932950716
34.5,All,Minivan,25,0.5908162251537675
34.5,All,Minivan,50,0.7233459203172372
34.5,All,Minivan,75,0.8790579962353371
37.5,All,Minivan,25,0.61489339700179
37.5,All,Minivan,50,0.7501787115048235
37.5,All,Minivan,75,0.902070722558168
40.5,All,Minivan,25,0.6059295812484238
40.5,All,Minivan,50,0.744060463405665
40.5,All,Minivan,75,0.8878833647294849
43.5,All,Minivan,25,0.6032899601900766
43.5,All,Minivan,50,0.7222806646557849
43.5,All,Minivan,75,0.8718801647787774
46.5,All,Minivan,25,0.6181717957356453
46.5,All,Minivan,50,0.7298959559515779
46.5,All,Minivan,75,0.8845972382065889
49.5,All,Minivan,25,0.6048479333279341
49.5,All,Minivan,50,0.7224739784788259
49.5,All,Minivan,75,0.8955185244625712
52.5,All,Minivan,25,0.5787175379608346
52.5,All,Minivan,50,0.6971107086356438
52.5,All,Minivan,75,0.8726702619816007
55.5,All,Minivan,25,0.5302243921524216
55.5,All,Minivan,50,0.6493312325727368
55.5,All,Minivan,75,0.8297927118206881
58.5,All,Minivan,25,0.5326545592287474
58.5,All,Minivan,50,0.6508291054490414
58.5,All,Minivan,75,0.8270618387133118
61.5,All,Minivan,25,0.5213613845252822
61.5,All,Minivan,50,0.6381744127884487
61.5,All,Minivan,75,0.8079398176531459
64.5,All,Minivan,25,0.49894303384994776
64.5,All,Minivan,50,0.6165248614333652
64.5,All,Minivan,75,0.7725550928304812
67.5,All,Minivan,25,0.4567368446656066
67.5,All,Minivan,50,0.5667071128701855
67.5,All,Minivan,75,0.7224221940972358
70.5,All,Minivan,25,0.4588230408625676
70.5,All,Minivan,50,0.5733090045142974
70.5,All,Minivan,75,0.7266186125414393
73.5,All,Minivan,25,0.4521392884306527
73.5,All,Minivan,50,0.565462309162868
73.5,All,Minivan,75,0.7142968694593888
76.5,All,Minivan,25,0.4364790234661214
76.5,All,Minivan,50,0.5483805723190311
76.5,All,Minivan,75,0.6904883347774565
79.5,All,Minivan,25,0.40178537871410047
79.5,All,Minivan,50,0.5034999920240786
79.5,All,Minivan,75,0.6405569194551275
82.5,All,Minivan,25,0.4032325647890844
82.5,All,Minivan,50,0.5076336205222808
82.5,All,Minivan,75,0.6470839488892791
85.5,All,Minivan,25,0.39526282719501576
85.5,All,Minivan,50,0.49748357932007153
85.5,All,Minivan,75,0.6361984938035443
88.5,All,Minivan,25,0.3801870725082549
88.5,All,Minivan,50,0.4803941829647755
88.5,All,Minivan,75,0.6122359532949899
91.5,All,Minivan,25,0.35559087844637244
91.5,All,Minivan,50,0.44689814769651154
91.5,All,Minivan,75,0.5742744177607939
94.5,All,Minivan,25,0.3613154861389233
94.5,All,Minivan,50,0.4547857045167994
94.5,All,Minivan,75,0.5859744335588106
97.5,All,Minivan,25,0.3544709574606856
97.5,All,Minivan,50,0.44705136301102927
97.5,All,Minivan,75,0.5756827695233001
100.5,All,Minivan,25,0.34274144773476917
100.5,All,Minivan,50,0.4329431192594643
100.5,All,Minivan,75,0.5561829151958684
103.5,All,Minivan,25,0.3140930031665419
103.5,All,Minivan,50,0.4012784747435776
103.5,All,Minivan,75,0.5203529129364217
106.5,All,Minivan,25,0.320738970293063
106.5,All,Minivan,50,0.409664825222669
106.5,All,Minivan,75,0.5275988414141777
109.5,All,Minivan,25,0.3133457545538205
109.5,All,Minivan,50,0.40289012329094764
109.5,All,Minivan,75,0.5237906239855405
112.5,All,Minivan,25,0.30238386916956234
112.5,All,Minivan,50,0.39256770553990455
112.5,All,Minivan,75,0.5049421447643101
115.5,All,Minivan,25,0.283295345872034
115.5,All,Minivan,50,0.364657560282065
115.5,All,Minivan,75,0.47328979895619466
118.5,All,Minivan,25,0.2892491852339683
118.5,All,Minivan,50,0.373705197975315
118.5,All,Minivan,75,0.4809724328010328
121.5,All,Minivan,25,0.28305251093740685
121.5,All,Minivan,50,0.36815700576809174
121.5,All,Minivan,75,0.4815140638300132
124.5,All,Minivan,25,0.2737252418831036
124.5,All,Minivan,50,0.357508520788278
124.5,All,Minivan,75,0.4635990868505355
127.5,All,Minivan,25,0.25070953705155
127.5,All,Minivan,50,0.32547332371276705
127.5,All,Minivan,75,0.4217937871928679
130.5,All,Minivan,25,0.2555195996810012
130.5,All,Minivan,50,0.33287700523902325
130.5,All,Minivan,75,0.42987963764801407
133.5,All,Minivan,25,0.24670436870168577
133.5,All,Minivan,50,0.32380411656112795
133.5,All,Minivan,75,0.4225443246055229
136.5,All,Minivan,25,0.23557538528886135
136.5,All,Minivan,50,0.31445120135674826
136.5,All,Minivan,75,0.41481488425681606
139.5,All,Minivan,25,0.21671099973161279
139.5,All,Minivan,50,0.2860139633762579
139.5,All,Minivan,75,0.37865419629575264
142.5,All,Minivan,25,0.22371252075660278
142.5,All,Minivan,50,0.2933595413608102
142.5,All,Minivan,75,0.3833272671102088
145.5,All,Minivan,25,0.21650189653146035
145.5,All,Minivan,50,0.2877547801375976
145.5,All,Minivan,75,0.37984383257707865
148.5,All,Minivan,25,0.20658968788152118
148.5,All,Minivan,50,0.27403756725369277
148.5,All,Minivan,75,0.3623156523244212
151.5,All,Minivan,25,0.19010005390369025
151.5,All,Minivan,50,0.2521397542888136
151.5,All,Minivan,75,0.3352112148842799
154.5,All,Minivan,25,0.1973649610391766
154.5,All,Minivan,50,0.26013060384750575
154.5,All,Minivan,75,0.3438952476005276
157.5,All,Minivan,25,0.18729348155476305
157.5,All,Minivan,50,0.24948591017907457
157.5,All,Minivan,75,0.32905920038654635
160.5,All,Minivan,25,0.18122572642425283
160.5,All,Minivan,50,0.24149404381244433
160.5,All,Minivan,75,0.3215346359680255
163.5,All,Minivan,25,0.16687422595240736
163.5,All,Minivan,50,0.21984424067342062
163.5,All,Minivan,75,0.29380236188165554
166.5,All,Minivan,25,0.17291550126583635
166.5,All,Minivan,50,0.2300161248105222
166.5,All,Minivan,75,0.30408037892654133
169.5,All,Minivan,25,0.16775087918894838
169.5,All,Minivan,50,0.22404969882671943
169.5,All,Minivan,75,0.29903129858119726
172.5,All,Minivan,25,0.16196984023788288
172.5,All,Minivan,50,0.21790536862902882
172.5,All,Minivan,75,0.2925097667752545
175.5,All,Minivan,25,0.15056984675888826
175.5,All,Minivan,50,0.2024831093030956
175.5,All,Minivan,75,0.2676590948782149
178.5,All,Minivan,25,0.15964725227609067
178.5,All,Minivan,50,0.2109347716235187
178.5,All,Minivan,75,0.281169562452959
181.5,All,Minivan,25,0.13506068829943943
