listing_year,powertrain,price_bin,p
2024,bev,$60k+,0.4276392996291602
2024,cv,$0-$30k,0.7974933108012956
2024,cv,$30k-$40k,0.8493639393512651
2024,cv,$40k-$50k,0.9370980613059193
2024,cv,$50k-$60k,0.902501995024175
2024,cv,$60k+,0.7572172933389664
2024,hev,$0-$30k,0.09679387879641366
2024,hev,$30k-$40k,0.24198469699103412
2024,hev,$40k-$50k,0.2063559123128198
2024,hev,$50k-$60k,0.21109702858752288
2024,hev,$60k+,0.15509552645167346
2024,phev,$0-$30k,0.0040839318405858326
2024,phev,$30k-$40k,0.09022203445524105
2024,phev,$40k-$50k,0.12026475144345866
2024,phev,$50k-$60k,0.01802563019293057
2024,phev,$60k+,1.408252358822701e-4
