age_bin,powertrain,vehicle_type,quantile,miles
175.5,all,all,75,169874.66512253243
178.5,all,all,25,106947.87606344307
178.5,all,all,50,138191.4215760763
178.5,all,all,75,169932.31628972763
181.5,all,all,25,107730.33307941497
181.5,all,all,50,140380.81525611633
181.5,all,all,75,171736.53080128384
1.5,all,car,25,6.436420454545455
1.5,all,car,50,28.395648566917334
1.5,all,car,75,800.866480595428
4.5,all,car,25,15.221566871016456
4.5,all,car,50,693.2732781712272
4.5,all,car,75,3261.481618728157
7.5,all,car,25,364.7390816359129
7.5,all,car,50,2461.673860415614
7.5,all,car,75,4951.121104010356
10.5,all,car,25,1558.2712697399538
10.5,all,car,50,4131.495709417607
10.5,all,car,75,8103.836425460064
13.5,all,car,25,3254.6204731847506
13.5,all,car,50,6230.407761189289
13.5,all,car,75,12241.71747824025
16.5,all,car,25,4632.971730841401
16.5,all,car,50,9434.097902377527
16.5,all,car,75,18215.53423801851
19.5,all,car,25,6676.3573286568135
19.5,all,car,50,13855.182238823438
19.5,all,car,75,24603.15357761188
22.5,all,car,25,8650.571749073191
22.5,all,car,50,17001.0023413311
22.5,all,car,75,29743.5628684719
25.5,all,car,25,11069.209269821706
25.5,all,car,50,21102.40321401271
25.5,all,car,75,34474.49616574714
28.5,all,car,25,14515.542286042772
28.5,all,car,50,27190.011528667284
28.5,all,car,75,39223.84923844728
31.5,all,car,25,17439.167385573142
31.5,all,car,50,30924.80766308128
31.5,all,car,75,42011.389559667856
34.5,all,car,25,18442.567142878466
34.5,all,car,50,30514.9910528808
34.5,all,car,75,43018.931928755446
37.5,all,car,25,19791.556095024454
37.5,all,car,50,31221.847085517624
37.5,all,car,75,44972.410330698876
40.5,all,car,25,21105.076526974608
40.5,all,car,50,31813.10571231365
40.5,all,car,75,45910.05402518586
43.5,all,car,25,22562.570887410384
43.5,all,car,50,32604.247455976572
43.5,all,car,75,46472.59701956019
46.5,all,car,25,22896.532286532318
46.5,all,car,50,32497.583598429865
46.5,all,car,75,45455.45689491983
